title,feature,year,make,youtubeId,visibility
How to pair Bluetooth,Bluetooth,2024,Ford,,public
Use Apple CarPlay,CarPlay,2024,Toyota,,public
Use Android Auto,Android Auto,2024,Honda,,public
Reset maintenance light,Maintenance,2023,Chevrolet,,public
Open fuel door,Fuel Door,2023,Hyundai,,public
Change clock time,Clock,2022,Kia,,public
Set cruise control,Cruise Control,2024,Subaru,,public
Use lane keep assist,Safety,2024,Tesla,,public
Replace key fob battery,Key Fob,2023,Nissan,,public
Check tire pressure (TPMS),Tires,2024,Toyota,,public
Pair phone over Bluetooth,Bluetooth,2024,Jeep,,public
Wiper blade change,Wipers,2023,Honda,,public
